Genus_Species, Ref (17) , Ref (18) , Ref (3) , Ref (35) , Ref (63) , Ref (64) , Ref (65) , Ref (66) ,Social System,Mating System
Papio_ursinus, NA , MMMF , NA , NA , NA , MM , NA , MMMF ,Polygynandry,Polygynandry
Perodicticus_potto, S , NA , NA , NA , NA , UM , Solitary , S ,Solitary,Spatial Polygyny
Piliocolobus_badius, MM , NA , MMMF , NA , NA , MM , MMMF , MMMF ,Polygynandry,Polygynandry
Pithecia_pithecia, NA , NA , NA , NA , NA , Mon , MMMF , NA ,Polygynandry,Polygynandry
Pongo_abelii, NA , NA , NA , NA , NA , NA , NA ," S, MMMF ",Solitary,Spatial Polygyny
Pongo_pygmaeus, NA , Harem , NA , NA , NA , MM and UM , Solitary ," S, MMMF ",Solitary,Spatial Polygyny
Presbytis_comata, NA , NA , NA , NA , NA , UM , Harem , NA ,Polygyny,Harem Polygyny
Presbytis_melalophos, NA , NA , Harem , NA , NA , MM and UM , Harem ," UM, MMMF ",Polygynandry,Harem Polygyny
Procolobus_verus, NA , NA , MMMF , NA , NA , MM , MMMF , NA ,Polygynandry,Polygynandry
Propithecus_diadema, NA , NA , NA , NP , NA , Mon , NA ," PL , UM , MMMF ",Polygynandry,Polygynandry
Propithecus_verreauxi, MM , NA , MMMF , NP , Polygynous , MM , MMMF ," PL , UM , MMMF ",Polygynandry,Polygynandry
Pygathrix_nemaeus, NA , NA , NA , NA , NA , MM and UM , Harem ," UM, MMMF ",Polygynandry,Harem Polygyny
Saguinus_fuscicollis, Mono , NA , Mon , NA , NA , Mon and PA , PA ," PL, UM, MMMF ",Pair,Polyandry
Saguinus_geoffroyi, NA , NA , Mon , NA , NA , NA , NA ," PL, UM, MMMF ",Pair,Monogamy
Saguinus_midas, NA , NA , Mon , NA , NA , Mon and PA , PA ," PL, UM, MMMF ",Pair,Polyandry
Saguinus_oedipus, NA , PA , Mon , NA , Mono/PA , Mon and PA , PA , NA ,Pair,Polyandry
Saimiri_oerstedii, NA , NA , MMMF , NA , NA , MM , MMMF , NA ,Polygynandry,Polygynandry
Saimiri_sciureus, MM , MMMF , MMMF , NA , Polygynous , MM , MMMF , NA ,Polygynandry,Polygynandry
Semnopithecus_entellus, NA , Harem , Harem , NA , NA , MM and UM , MMMF ," UM, MMMF ",Polygynandry,Harem Polygyny
Symphalangus_syndactylus, NA , NA , Mon , NA , NA , Mon , Mon , PL ,Pair,Monogamy
Tarsius_bancanus, NA , NA , NA , NA , NA , NA , NA , S ,Solitary,Spatial Polygyny
Tarsius_syrichta, NA , NA , NA , NA , NA , NA , NA , S ,Solitary,Spatial Polygyny
Theropithecus_gelada, NA , Harem , Harem , NA , NA , UM , MMMF , UM ,Polygynandry,Harem Polygyny
Trachypithecus_cristatus, NA , Harem , Harem , NA , NA , UM , Harem , MMMF ,Polygynandry,Harem Polygyny
Trachypithecus_johnii, NA , NA , Harem , NA , NA , UM , NA ," UM, MMMF ",Polygynandry,Harem Polygyny
Trachypithecus_obscurus, NA , Harem , Harem , NA , NA , MM and UM , Harem , MMMF ,Polygynandry,Harem Polygyny
Trachypithecus_phayrei, NA , NA , NA , NA , NA , NA , NA , UM ,Polygyny,Harem Polygyny
Trachypithecus_pileatus, NA , NA , NA , NA , NA , UM , Harem , UM ,Polygyny,Harem Polygyny
Trachypithecus_vetulus, NA , NA , Harem , NA , NA , UM , Harem , NA ,Polygyny,Harem Polygyny
Varecia_variegata_variegata, MM , NA , NA , Pair , Solitary , Mon , MMMF , MMMF ,Pair,Monogamy
