museum,acc.no,taxon,MC1.L,MC1.BML,MC1.BDP,MC1.MSML,MC1.MSDP,MC1.HML,MC1.HDP,MC5.L,MC5.BML,MC5.BDP,MC5.MSML,MC5.MSDP,MC5.HML,MC5.HDP,PP3.L,PP3.BML,PP3.BDP,PP3.MSML,PP3.MSDP,PP3.TML,PP3.TDP,IP3.L,IP3.BML,IP3.BDP,IP3.TML,IP3.TDP
CMNH,HTH 732,Homo_sapiens,45.83,15.46,14.4,12.55,8.34,13.78,11.44,52.1,11.96,11.08,8.91,6.42,10.08,11,44.42,15.28,12.27,11.28,7.14,11.84,7.98,29.64,12.96,9.47,9.35,6.06
CMNH,HTH 735,Homo_sapiens,44.93,15.76,15.83,12.78,8.78,14.62,13.11,55.88,12.23,12.42,8.55,6.55,12.98,12.37,48.13,17.11,13.3,10.37,7.6,12.66,9.11,30.66,14.79,10.33,10.13,6.62
CMNH,HTH 754,Homo_sapiens,46.43,16.6,15.31,12.57,7.48,14.72,11.72,52.73,13.65,11.8,8.46,7.36,12.67,12.88,45.9,16.88,13.4,10.46,6.83,12.49,8.35,28.94,14.61,9.7,10.91,6.21
CMNH,HTH 1577,Homo_sapiens,45.92,16.82,16.87,13.03,8.89,15.32,14.8,53.33,11.75,12.03,8.2,7.25,10.68,12.49,44.52,15.67,12.91,9.74,7.47,11.88,8.67,28.52,14.42,11.96,10.21,6.56
CMNH,HTH 1556,Homo_sapiens,45.76,15.52,17.3,12.34,9.98,15.55,13.36,55.61,11.71,11.75,8.5,7.04,12.87,12.1,45.87,16.92,13.38,11.69,7.39,12.69,8.82,32.09,14.14,10.04,9.97,6.94
CMNH,HTH 1514,Homo_sapiens,46.77,16.66,16.21,12.82,8.84,15.78,13.43,55.07,11.81,12.93,8.57,7.45,12.84,12.41,45.58,16.93,13.36,10.42,7.66,12.25,8.73,30.53,14.13,10.67,9.63,7.09
CMNH,HTH 1429,Homo_sapiens,46.5,16.66,16.1,12.01,8.94,14.57,12.43,54.59,10.94,10.81,9.53,7.23,12.32,12.86,48.26,17.51,13.39,11.27,6.92,12.87,9.24,31.95,15.05,9.96,10.06,6.76
CMNH,HTH 1521,Homo_sapiens,47.11,17.33,16.25,13.84,9.13,15.03,14.05,57.06,12.59,12.75,8.65,7.33,12.72,12.55,47.44,17.73,13.05,11.66,7.55,12.48,8.93,32.55,14.99,10.85,9.99,7.09
PAHMA,9044,Homo_sapiens,42.6,14.26,14.11,9.5,8.14,13.8,14.76,49.71,13.17,10.22,5.8,6.96,10.5,11.05,41.45,16,12.35,9.42,7.4,10.5,8.14,26.82,13.23,9.61,8.61,5.78
PAHMA,9046,Homo_sapiens,44.97,16,16.46,12.07,7.92,13.15,13.12,52.9,14.24,10.2,7.67,7.4,10.53,11.03,43.57,15.93,12.7,10.86,7.56,12.37,8.07,29.51,14.14,10.45,9.25,5.82
PAHMA,9092,Homo_sapiens,42.23,14.26,14.33,9.83,6.85,13.36,11.05,47.75,11.87,9.55,5.56,6.74,11.06,11.05,44.44,15.3,12.4,8.67,6.71,11.23,7.9,27.05,14.1,10.4,8.13,5.57
PAHMA,9802,Homo_sapiens,45.72,15.82,15.41,12.58,8.53,14.53,13.9,52.2,13.35,11.87,7.2,7.9,11.68,12.52,46.95,16.47,12.66,10.94,7,11.95,8.28,29.85,15,10.85,10.13,6.36
PAHMA,9047,Homo_sapiens,41.3,14.8,14,11.4,7.3,13,12.21,49.05,13.1,9.96,7.55,6.4,10.9,11.74,43.76,15.22,11.65,9.62,6,11.5,7.9,29.3,13.03,9.5,8.72,5.65
PAHMA,10449,Homo_sapiens,49.71,17.33,16.57,13.36,8.3,15.7,15,55.83,13.36,11.62,7.8,7.3,12.6,12.93,48.52,17.25,13.44,10.37,8.18,12.9,9.6,29.7,14.8,11.35,10.5,6.56
PAHMA,10448,Homo_sapiens,43.37,14.61,15.43,10.71,8.56,14.13,13.4,52.3,10.46,9.91,7.83,6.04,11.13,12.26,44.93,15.62,13.51,10,7.3,12.44,9.2,29.21,14.4,10.72,9.94,6.75
PAHMA,10465,Homo_sapiens,45.15,14.61,15.65,11.84,8.25,14.93,14.14,53.43,10.2,11.24,7.33,5.64,12.03,12.28,44.87,15.92,12.65,9.72,6.08,11.5,8.2,29.47,14.22,10.38,9.8,6.62
PAHMA,5879,Homo_sapiens,48.5,15,16,11.54,8.73,14.52,13.7,58.7,10.62,9.37,7.46,6.37,11.77,12.3,49.83,15.63,12.43,10,7.32,11.7,8.45,32.6,14,11.34,10.08,6.5
PAHMA,5391,Homo_sapiens,41.45,14.32,13.7,10.26,7.16,12.85,12.7,48.8,9.8,10.2,6.3,5.34,10.05,10.76,41.6,14.17,11.3,8.3,6.6,10.3,7.42,26.91,12.57,9.44,9.06,5.35
