Genus_Species,Avg_GS,Min of Group Size,Max of Group Size,Count of First or Duplicate Entry?
Colobus_guereza,8.6,4.8,12,5
Colobus_polykomos,11,9,13,2
Colobus_satanas,14.33333333,12.5,15.5,3
Daubentonia_madagascariensis,1.75,1.5,2,2
Erythrocebus_patas,26.52,8,51,15
Eulemur_coronatus,6.95,5.5,8.4,2
Eulemur_fulvus,10.08,7,15.5,5
Eulemur_rufus,9.2,9.2,9.2,1
Eulemur_macaco,8.966666667,8.4,10,3
Eulemur_mongoz,2.7,2,3.5,3
Eulemur_rubriventer,3.1,3,3.2,2
Euoticus_elegantulus,2.5,1,4,2
Galago_alleni,1.75,1,2.5,2
Galago_moholi,2,2,2,1
Galago_senegalensis,1,1,1,1
Galago_demidoff,2.25,1,3.5,2
Galago_zanzibaricus,3.5,3.5,3.5,1
Gorilla_beringei,13,9,17,2
Gorilla_gorilla,10.04705882,2,27,17
Hapalemur_aureus,3,3,3,1
Hapalemur_griseus,3.55,2.6,4.5,2
Prolemur_simus,8,8,8,1
Hylobates_agilis,3.95,3.5,4.4,2
Hylobates_klossii,3.6,3.4,3.8,4
Hylobates_lar,3.514285714,2,5,7
Hylobates_moloch,3.5,3.5,3.5,1
Hylobates_muelleri,3.45,3.4,3.5,2
Hylobates_pileatus,3.85,3.7,4,2
Indri_indri,3.28,2,4.3,5
Lagothrix_lagotricha,20.30909091,8,33,11
Lemur_catta,15.75,12,18,6
Leontopithecus_chrysomelas,6.7,6.7,6.7,1
Leontopithecus_rosalia,5.4,5,5.8,2
Lepilemur_mustelinus,1.5,1,2,2
Lophocebus_albigena,15.68095238,5,27,21
Lophocebus_aterrimus,9.5,9.5,9.5,1
Loris_tardigradus,2,1,3,2
Macaca_arctoides,13.75,5,22.5,2
Macaca_assamensis,25.9,21.8,30,2
Macaca_fascicularis,27.52142857,18.2,35.75,7
Macaca_fuscata,64.65,24,117,4
Macaca_mulatta,36.3625,6,65,24
Macaca_nemestrina,31.56,18.3,50,5
Macaca_nigra,47,47,47,1
Macaca_radiata,28.86,24.5,34.5,5
Macaca_silenus,19,17,21,2
Macaca_sinica,24.8,24.8,24.8,1
Macaca_sylvanus,21.86,10,39,5
Mandrillus_leucophaeus,96.5,96.5,96.5,1
Mandrillus_sphinx,95,95,95,1
Microcebus_murinus,5.1,3,7.2,2
Microcebus_rufus,2.25,2,2.5,2
Miopithecus_talapoin,68.375,13,112,4
Mirza_coquereli,1.5,1,2,2
Nasalis_larvatus,9.94,3,20,10
Nomascus_concolor,3.5,3.5,3.5,1
Nycticebus_coucang,1,1,1,1
Otolemur_crassicaudatus,2.25,1,3.5,2
Pan_paniscus,67.5,10,125,2
Pan_troglodytes,42.70714286,5.2,187,14
Papio_anubis,47.04516129,9,150,31
Papio_cynocephalus,48.205,18,81.75,10
Papio_hamadryas,41.125,14,68,4
Papio_papio,136.6666667,50,240,3
Papio_ursinus,41.1,8,79,9
Perodicticus_potto,1.25,1,1.5,2
Piliocolobus_badius,29.18,8,82,30
Pithecia_pithecia,2.65,2.6,2.7,2
Pongo_abelii,2,2,2,1
Pongo_pygmaeus,1.6,1,2,3
Presbytis_comata,7,7,7,1
Presbytis_melalophos,12.76666667,9.3,15,3
Presbytis_potenziani,4,4,4,1
Procolobus_verus,8,8,8,1
Propithecus_diadema,5.55,5.1,6,2
Propithecus_verreauxi,5.92,5,7,5
Pygathrix_nemaeus,21.45,9.3,43,4
Rhinopithecus_roxellana,110,110,110,1
Saguinus_fuscicollis,5.7,4.7,6.5,3
Saguinus_geoffroyi,5.15,5.15,5.15,1
